"Order","Term_ID","Indented_Name","Parent_IDs","Level"
1,"HP:0030956","Abnormality of cardiovascular system electrophysiology","",0
2,"HP:0003115","  Abnormal EKG","HP:0030956",1
3,"HP:0031595","    Abnormal P wave","HP:0003115",2
4,"HP:0033122","      Absent P wave","HP:0031595",3
5,"HP:0031598","      Notched P wave","HP:0031595",3
6,"HP:0031599","      P mitrale","HP:0031595",3
7,"HP:0031601","      P pulmonale","HP:0031595",3
8,"HP:0031600","      P wave inversion","HP:0031595",3
9,"HP:0034308","      Prolonged P wave","HP:0031595",3
10,"HP:0031593","    Abnormal PR interval","HP:0003115",2
11,"HP:0012248","      Prolonged PR interval","HP:0031593",3
12,"HP:0005165","      Shortened PR interval","HP:0031593",3
13,"HP:0031596","    Abnormal PR segment","HP:0003115",2
14,"HP:0031594","      PR segment depression","HP:0031596",3
15,"HP:0031597","      PR segment elevation","HP:0031596",3
16,"HP:0025074","    Abnormal QRS complex","HP:0003115",2
17,"HP:0025076","      Abnormal QRS voltage","HP:0025074",3
18,"HP:0025077","        Decreased QRS voltage","HP:0025076",4
19,"HP:0025078","        Electrical alternans","HP:0025076",4
20,"HP:0025075","        Increased QRS voltage","HP:0025076",4
21,"HP:0006677","      Prolonged QRS complex","HP:0025074",3
22,"HP:0031547","    Abnormal QT interval","HP:0003115",2
23,"HP:0001657","      Prolonged QT interval","HP:0031547",3
24,"HP:0005184","        Prolonged QTc interval","HP:0001657",4
25,"HP:0012232","      Shortened QT interval","HP:0031547",3
26,"HP:6001160","    Abnormal R wave","HP:0003115",2
27,"HP:6001161","      Poor R-wave progression","HP:6001160",3
28,"HP:6001162","      Prominent V1-V2 R wave","HP:6001160",3
29,"HP:0012249","    Abnormal ST segment","HP:0003115",2
30,"HP:0032195","      Abnormal S wave","HP:0012249",3
31,"HP:0032197","        Deep S wave in lead V5","HP:0032195",4
32,"HP:0032196","        Prominent S wave in lead I","HP:0032195",4
33,"HP:0012250","      ST segment depression","HP:0012249",3
34,"HP:0012251","      ST segment elevation","HP:0012249",3
35,"HP:6000984","        Coved type ST segment elevation","HP:0012251",4
36,"HP:6000985","        Saddle-back type ST segment elevation","HP:0012251",4
37,"HP:0005135","    Abnormal T-wave","HP:0003115",2
38,"HP:0034303","      Notched T wave","HP:0005135",3
39,"HP:0012266","      T-wave alternans","HP:0005135",3
40,"HP:0010872","      T-wave inversion","HP:0005135",3
41,"HP:0003140","        T-wave inversion in the right precordial leads","HP:0010872",4
42,"HP:0025070","    Abnormal U wave","HP:0003115",2
43,"HP:0025072","      Prominent U wave","HP:0025070",3
44,"HP:0025071","      U wave inversion","HP:0025070",3
45,"HP:0025073","        Exercise-induced U wave inversion","HP:0025071",4
46,"HP:0033566","    Abnormal ventricular axis","HP:0003115",2
47,"HP:0033569","      Extreme axis deviation","HP:0033566",3
48,"HP:0033570","      Indeterminate ventricular axis","HP:0033566",3
49,"HP:0033568","      Left axis deviation","HP:0033566",3
50,"HP:0033567","      Right axis deviation","HP:0033566",3
51,"HP:0034304","    Epsilon wave","HP:0003115",2
52,"HP:6001087","    Irregular P-P interval","HP:0003115",2
53,"HP:6001086","    Irregular RR interval","HP:0003115",2
54,"HP:0012272","    J wave","HP:0003115",2
55,"HP:0011675","  Arrhythmia","HP:0030956",1
56,"HP:0011702","    Abnormal electrophysiology of sinoatrial node origin","HP:0011675",2
57,"HP:0011704","      Sick sinus syndrome","HP:0011702; HP:0012722",3
58,"HP:0012723","      Sinoatrial block","HP:0011702; HP:0012722",3
59,"HP:0001688","      Sinus bradycardia","HP:0001662; HP:0011702",3
60,"HP:0011703","      Sinus tachycardia","HP:0011702",3
61,"HP:0040182","        Inappropriate sinus tachycardia","HP:0011703",4
62,"HP:0031860","    Abnormal heart rate variability","HP:0011675",2
63,"HP:0031861","      Decreased heart rate variability","HP:0031860",3
64,"HP:0031862","      Increased heart rate variability","HP:0031860",3
65,"HP:0001662","    Bradycardia","HP:0011675",2
66,"HP:0001688","      Sinus bradycardia","HP:0001662; HP:0011702",3
67,"HP:0001695","    Cardiac arrest","HP:0011675",2
68,"HP:0031628","      Aborted sudden cardiac death","HP:0001695",3
69,"HP:0001645","      Sudden cardiac death","HP:0001695",3
70,"HP:0001962","    Palpitations","HP:0011675",2
71,"HP:0005115","    Supraventricular arrhythmia","HP:0011675",2
72,"HP:0001692","      Atrial arrhythmia","HP:0005115",3
73,"HP:0005110","        Atrial fibrillation","HP:0001692",4
74,"HP:0004757","          Paroxysmal atrial fibrillation","HP:0005110",5
75,"HP:0004754","          Permanent atrial fibrillation","HP:0005110",5
76,"HP:0004749","        Atrial flutter","HP:0001692",4
77,"HP:0031672","          Reverse typical atrial flutter","HP:0004749",5
78,"HP:0031671","          Typical atrial flutter","HP:0004749",5
79,"HP:0011699","        Atrial reentry tachycardia","HP:0001692",4
80,"HP:0011700","        Automatic atrial tachycardia","HP:0001692",4
81,"HP:0011725","        Chaotic multifocal atrial tachycardia","HP:0001692",4
82,"HP:0011701","        Multifocal atrial tachycardia","HP:0001692",4
83,"HP:0025478","      Atrial standstill","HP:0005115",3
84,"HP:0006699","      Premature atrial contractions","HP:0005115",3
